"source","Time","Var","Value","EPU"
"ROMS",1973,"se_persistence_index",0.0252983266253934,"MAB"
"ROMS",1973,"extent_index",48.1911764705883,"MAB"
"ROMS",1973,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1974,"cold_pool_index",0.824634912313698,"MAB"
"ROMS",1974,"se_cold_pool_index",0.0266314584367146,"MAB"
"ROMS",1974,"persistence_index",-0.91577071657683,"MAB"
"ROMS",1974,"se_persistence_index",0.0315650795162952,"MAB"
"ROMS",1974,"extent_index",-43.8088235294117,"MAB"
"ROMS",1974,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1975,"cold_pool_index",-0.217263366798338,"MAB"
"ROMS",1975,"se_cold_pool_index",0.0478457270709764,"MAB"
"ROMS",1975,"persistence_index",-0.312353901563925,"MAB"
"ROMS",1975,"se_persistence_index",0.0252885644754531,"MAB"
"ROMS",1975,"extent_index",40.1911764705883,"MAB"
"ROMS",1975,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1976,"cold_pool_index",0.146880468129848,"MAB"
"ROMS",1976,"se_cold_pool_index",0.0307007675513109,"MAB"
"ROMS",1976,"persistence_index",-0.277444847264043,"MAB"
"ROMS",1976,"se_persistence_index",0.0300237068019498,"MAB"
"ROMS",1976,"extent_index",29.1911764705883,"MAB"
"ROMS",1976,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1977,"cold_pool_index",-0.557879596052669,"MAB"
"ROMS",1977,"se_cold_pool_index",0.0463119404198692,"MAB"
"ROMS",1977,"persistence_index",-0.137878941951647,"MAB"
"ROMS",1977,"se_persistence_index",0.0213253185311293,"MAB"
"ROMS",1977,"extent_index",68.1911764705883,"MAB"
"ROMS",1977,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1978,"cold_pool_index",-0.783155700246543,"MAB"
"ROMS",1978,"se_cold_pool_index",0.0295010145810601,"MAB"
"ROMS",1978,"persistence_index",0.0963698464166891,"MAB"
"ROMS",1978,"se_persistence_index",0.0237893743608648,"MAB"
"ROMS",1978,"extent_index",79.1911764705883,"MAB"
"ROMS",1978,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1979,"cold_pool_index",-1.63098409887456,"MAB"
"ROMS",1979,"se_cold_pool_index",0.0331291039799581,"MAB"
"ROMS",1979,"persistence_index",0.453397310067739,"MAB"
"ROMS",1979,"se_persistence_index",0.0150217575806076,"MAB"
